provider_id,name,type,Fields Description,
2255,Adani Housing Finance,LOAN REPAYMENT,Loan Number,
2256,Aditya Birla Finance Limited,LOAN REPAYMENT,"Loan Account Number,Mobile",
2257,Aditya Birla Housing Finance Limited,LOAN REPAYMENT,"Loan Account Number,Registered Mobile Number",
2258,Agora Microfinance India Ltd - AMIL,LOAN REPAYMENT,Loan Account Number,
2259,Altum Credo Home Finance,LOAN REPAYMENT,Loan Number,
2260,Annapurna Finance Private Limited-MFI,LOAN REPAYMENT,Loan Account Number,
2261,Annapurna Finance Private Limited-MSME,LOAN REPAYMENT,Loan Account Number,
2262,APAC Financial Services Pvt Ltd,LOAN REPAYMENT,Loan Account Number,
2263,Aptus Finance India Private Limited,LOAN REPAYMENT,"Loan Account Number,Date of Birth(DD/MM/YYYY),Mobile Number",
2264,Aptus Value Housing Finance India Limited,LOAN REPAYMENT,"Loan Account Number,Date of Birth(DD/MM/YYYY),Mobile Number",
2265,Arohan Financial Services Ltd,LOAN REPAYMENT,Loan ID,
2266,Ascend Capital,LOAN REPAYMENT,Loan number,
2267,Asirvad Micro Finance Ltd,LOAN REPAYMENT,"Member ID,Mobile Number",
2268,AU Bank Loan Repayment,LOAN REPAYMENT,Loan Number,
2269,Avail,LOAN REPAYMENT,"Mobile Number,Date of birth (DD/MM/YYYY)",
2270,Avanse Financial Services Ltd,LOAN REPAYMENT,Loan Account Number,
2271,Axis Bank Limited-Microfinance,LOAN REPAYMENT,"Loan Account No,Date of Birth (YYYY-MM-DD)",
2272,Axis Bank Limited - Retail Loan,LOAN REPAYMENT,"Loan Account No,Date of Birth (YYYY-MM-DD),Mobile Number",
2273,Axis Finance Limited,LOAN REPAYMENT,Loan Number,
2274,Ayaan Finserve India Private LTD,LOAN REPAYMENT,Loan Number,
2275,Aye Finance Pvt. Ltd.,LOAN REPAYMENT,Loan Number,
2276,Baid Leasing and Finance,LOAN REPAYMENT,Loan Number,
2277,Bajaj Auto Finance,LOAN REPAYMENT,Loan Account Number,
2278,Bajaj Finance,LOAN REPAYMENT,Customer ID/Loan Account Number/Mobile Number/Provisional RC No/Registration Number,
2279,Bajaj Housing Finance Limited,LOAN REPAYMENT,Loan Account Number,
2280,Belstar Microfinance Limited,LOAN REPAYMENT,Loan Account Number,
2281,BERAR Finance Limited,LOAN REPAYMENT,LAN No,
2282,Bharat Financial Inclusion Ltd,LOAN REPAYMENT,Account Number,
2283,Bussan Auto Finance India Pvt Ltd,LOAN REPAYMENT,ClientID,
2284,Capri Global Capital Limited,LOAN REPAYMENT,"Agreement Number,Mobile Number",
2285,Capri Global Housing Finance,LOAN REPAYMENT,Loan Account Number,
2286,Care India Finvest Limited,LOAN REPAYMENT,Loan Account Number,
2287,Cars24 Financial Services Private Limited,LOAN REPAYMENT,Loan Number,
2288,Centrum Microcredit Limited,LOAN REPAYMENT,Vehicle Number,
2289,Chaitanya India Fin Credit Pvt Ltd,LOAN REPAYMENT,Consumer ID,
2290,Clix,LOAN REPAYMENT,Loan Account Number,
2291,CNH Industrial Capital Pvt. Ltd.,LOAN REPAYMENT,Loan Application Number,
2292,CreditAccess Grameen - Microfinance,LOAN REPAYMENT,Loan reference number,
2293,CreditAccess Grameen - Retail Finance,LOAN REPAYMENT,Member ID,
2294,Credit Wise Capital,LOAN REPAYMENT,Loan ID,
2295,Criss Financial Holdings Ltd,LOAN REPAYMENT,"Date of birth (dd-mm-yyyy),Mobile number",
2296,DCB Bank Loan Repayment,LOAN REPAYMENT,Loan Number,
2297,DCBS Loan,LOAN REPAYMENT,Loan Number,
2298,Dhani Loan & Services Ltd,LOAN REPAYMENT,Loan Account Number,
2299,Digamber Capfin Limited,LOAN REPAYMENT,Loan Agreement No,
2300,Diwakar Tracom Private Limited,LOAN REPAYMENT,Loan Account Number,
2301,DMI Finance Private Limited,LOAN REPAYMENT,Loan Number,
2302,Dvara Kshetriya Gramin Financials Services Private Limited,LOAN REPAYMENT,Loan Number,
2303,Easy Home Finance Limited,LOAN REPAYMENT,Account number,
2304,Eduvanz Financing Pvt. Ltd.,LOAN REPAYMENT,Loan Number,
2305,Ekagrata Finance,LOAN REPAYMENT,Loan Account Number,
2306,Electronica Finance Limited,LOAN REPAYMENT,Loan Account Number,
2307,Equitas SFB - Microfinance Loan,LOAN REPAYMENT,Loan Account Number,
2308,Equitas Small Finance Bank - Retail Loan,LOAN REPAYMENT,Center Number,
2309,ESAF Small Finance Bank (Micro Loans),LOAN REPAYMENT,"Mobile Number,Loan Number",
2310,Ess Kay Fincorp Limited,LOAN REPAYMENT,Account Number,
2311,Faircent-Borrower EMI Account,LOAN REPAYMENT,Loan Number,
2312,Fincare Small Finance Bank,LOAN REPAYMENT,"Loan Account Number,Mobile Number",
2313,Finova Capital Private Ltd,LOAN REPAYMENT,Loan Account Number,
2314,FlexiLoans,LOAN REPAYMENT,Loan Account Number,
2315,Flexsalary,LOAN REPAYMENT,Loan ID,
2316,Fortune Credit Capital Limited,LOAN REPAYMENT,Loan Account Number,
2317,Fullerton India credit company limited,LOAN REPAYMENT,Loan Account Number,
2318,Fullerton India Housing Finance Limited,LOAN REPAYMENT,Loan Account Number,
2319,G U Financial Services Pvt Ltd,LOAN REPAYMENT,Loan Account Number,
2320,HDB Financial Services Limited,LOAN REPAYMENT,Loan account number,
2321,Hero FinCorp Limited,LOAN REPAYMENT,Loan Number,
2322,Hero FinCorp Limited - Old,LOAN REPAYMENT,"Application Id,Application Payment Type,Annexure ID",
2323,Hindon Mercantile Limited - Mufin,LOAN REPAYMENT,Application ID,
2324,Hiranandani Financial Services Pvt  Ltd,LOAN REPAYMENT,Loan Number,
2325,Home Credit India Finance Pvt. Ltd,LOAN REPAYMENT,Loan Number,
2326,Home First Finance Company India Limited,LOAN REPAYMENT,Application ID,
2327,i2i Funding-Borrower EMI Repayment,LOAN REPAYMENT,Loan Account Number,
2328,ICICI BANK - Interest Repayment Loans,LOAN REPAYMENT,Loan ID,
2329,ICICI Bank Ltd - Loans,LOAN REPAYMENT,Account Number,
2330,IDFC FIRST Bank Ltd,LOAN REPAYMENT,Loan Account Number,
2331,IDF Financial Services Private Limited,LOAN REPAYMENT,Loan No,
2332,IIFL Finance Limited,LOAN REPAYMENT,Loan Account Number,
2333,IIFL Home Finance,LOAN REPAYMENT,"Loan Account Number,Mobile Number",
2334,InCred,LOAN REPAYMENT,"Loan Account Number,Mobile Number",
2335,Indiabulls Commercial Credit Ltd,LOAN REPAYMENT,Loan ID,
2336,Indiabulls Housing Finance Limited,LOAN REPAYMENT,"LanNo,DOB (dd-mm-yyyy)",
2337,India Home Loan Limited,LOAN REPAYMENT,"LanNo,DOB (In dd-mm-yyyy)",
2338,India Shelter Finance Corporation Limited,LOAN REPAYMENT,Account Number,
2339,Indostar Capital Finance Limited - CV,LOAN REPAYMENT,Application ID,
2340,Indostar Capital Finance Limited - SME,LOAN REPAYMENT,Loan Number,
2341,Indostar Home Finance Private Limited,LOAN REPAYMENT,Loan Number,
2342,INDUSIND BANK - CFD,LOAN REPAYMENT,Loan Number,
2343,Jain Autofin,LOAN REPAYMENT,Loan Account No,
2344,Jain Motor Finmart,LOAN REPAYMENT,Loan identification,
2345,Janakalyan Financial Services Private Limited,LOAN REPAYMENT,Loan Number,
2346,Jana Small Finance Bank,LOAN REPAYMENT,Loan Account Number,
2347,John Deere Financial India Private Limited,LOAN REPAYMENT,Loan Account Number,
2348,Kanakadurga Finance Limited,LOAN REPAYMENT,Loan Number,
2349,Khush Housing Finance Pvt Ltd,LOAN REPAYMENT,Loan Number,
2350,Kinara Capital,LOAN REPAYMENT,Loan Number,
2351,Kissht,LOAN REPAYMENT,Loan Number,
2352,Kotak Mahindra Bank Ltd.-Loans,LOAN REPAYMENT,"Mobile Number,Date of birth (YYYY-MM-DD)",
2353,Kotak Mahindra Prime Limited,LOAN REPAYMENT,Loan account Number,
2354,L and T Financial Services,LOAN REPAYMENT,Loan account Number,
2355,L and T Housing Finance,LOAN REPAYMENT,"Loan Account Number,Mobile Number",
2356,LIC Housing Finance Limited,LOAN REPAYMENT,"Loan Account Number,Mobile Number",
2357,Light Microfinance Private Limited,LOAN REPAYMENT,"Loan No,DOB(dd/mm/yyyy)",
2358,Loan2Wheels,LOAN REPAYMENT,Loan Account Number,
2359,LOANTAP CREDIT PRODUCTS PRIVATE LIMITED,LOAN REPAYMENT,Loan Account Number,
2360,Loksuvidha,LOAN REPAYMENT,Loan number,
2361,Mahaveer Finance India Limited,LOAN REPAYMENT,Loan Account Number,
2362,Mahindra and Mahindra Financial Services Limited,LOAN REPAYMENT,Vehicle Number,
2363,Mahindra Home Finance,LOAN REPAYMENT,"Loan Account Number,Mobile or Vehicle Registration Number",
2364,Manappuram Finance Limited-Vehicle Loan,LOAN REPAYMENT,Loan Number,
2365,Maxvalue Credits And Investments Ltd,LOAN REPAYMENT,Agreement Number,
2366,MDFC Financiers Pvt Ltd,LOAN REPAYMENT,"Account number,Mobile number",
2367,Midland Microfin Ltd,LOAN REPAYMENT,"Agreement No,DOB (dd-mm-yyyy)",
2368,Mintifi Finserve Private Limited,LOAN REPAYMENT,Loan Account Number,
2369,Mitron Capital,LOAN REPAYMENT,Application Number,
